Field,Variable Name,Variable Long Name,Variable Description,Original Variable Name,Reference URL,Data Table,Keys,Indexes,Units,Min value,Max value,Field data type
Subject Code,SEQN,Respondent sequence number,Respondent sequence number,SEQN,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,MUL,,62161,71916,varchar(128)
Daily Frequency,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,double
Survey Frequency,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,double
Brand Code,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,varchar(128)
_P,ID,Identificator,System Field,N/A,N/A,N/A,,PRI,,1,225757,int(11)
Day,DRDINT,Number of days of intake,Number of days of intake,DRDINT,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,1,2,varchar(128)
Breasfed Infant,DRABF,Breast-fed infant (either day),Indicates whether the sample person was an infant who was breast fed on either of the two recall days.,DRABF,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,No,Yes,text
Meal,DR2_030Z,Name of eating occasion,Coded name of eating occasion,DR2_030Z,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,1,19,double
Name Of Eating Occasion,DR2_030Z,Name of eating occasion,Name of eating occasion,DR2_030Z,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,Almuerzo,Tentempie,text
Time,DR2_020,Time of eating occasion (HH:MM),What time did you begin to eat/drink the meal/food?,DR2_020,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,0,2359,time
Amount,DR2IGRMS,Grams, Gram weight of the food/individual component,DR2IGRMS,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,0,12886.88,text
Food Code,DR2IFDCD,USDA food code,USDA food code,DR2IFDCD,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,11,95342,varchar(128)
Source Of Food,DR2FS,Source of food,Where did you get (this/most of the ingredients for this food),DR2FS,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,Bar/tavern/lounge,Vending machine,text
Intake Day Of The Week,DR2DAY,Intake day of the week,"Intake day of the week (Sunday, Monday, Tuesday, etc)",DR2DAY,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,,Friday,Wednesday,text
