Field,Variable Name,Variable Long Name,Variable Description,Original Variable Name,Reference URL,Data Table,Keys,Indexes,Units,Min value,Max value,Field data type
_P,ID,Identificator,Table Identificator,N/A,N/A,N/A,Primary Key,PRI,N/A,1,9756,int(11)
Weighting,WTDR2D,Dietary two-day sample weight,Dietary two-day sample weight,WTDR2D,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,N/A,1852.302873,443805.7379,double
Day Count,DRDINT,Number of days of intake,Indicates whether the sample person has intake data for one or two days,DRDINT,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,N/A,,,double
Breastfed infant,DRABF,Breast-fed infant (either day),Indicates whether the sample person was an infant who was breast fed on either of the two recall days. This is recaluclated using the Dietary files- distinct count of the Subject Codes matched to the subjects list,DRABF,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Dietary&CycleBeginYear=2011,"Dietary Interview - Individual Foods, Second Day DR2IFF_G Data [XPT, 72.7 MB]",,,N/A,No,Yes,text
Full Sample 2 Year Mec Exam Weight,WTMEC2YR,Full sample 2 year MEC exam weight,Both interviewed and MEC examined participants,WTMEC2YR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,3522.493854,222579.7834,text
Full Sample 2 Year Interview Weight,WTINT2YR,Full sample 2 year interview weight,Full sample 2 year interview weightEnglish Text: Interviewed participants.,WTINT2YR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,3320.8855,220233.3152,text
Subject Code,SEQN,Respondent sequence number,Respondent sequence number,SEQN,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",Key,MUL,N/A,62161,71916,varchar(128)
Masked Variance Pseudo-stratum,SDMVSTRA,Masked variance pseudo-stratum,Masked variance unit pseudo-stratum variable for variance estimation,SDMVSTRA,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,90,103,text
Masked Variance Pseudo-psu,SDMVPSU,Masked variance pseudo-PSU,Masked variance unit pseudo-PSU variable for variance estimation,SDMVPSU,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,1,3,text
Interview/exam Status,RIDSTATR,Interview/Examination status,Interview and examination status of the participant.,RIDSTATR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Both interviewed and MEC examined,Both interviewed and MEC examined,text
